,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
843,1312197,1,18,6,JC Buttler,Mohammed Shami,R Parag,,6,0,6,0,0,,,,Rajasthan Royals
844,1312197,1,19,1,R Parag,Yash Dayal,JC Buttler,,2,0,2,0,0,,,,Rajasthan Royals
845,1312197,1,19,2,R Parag,Yash Dayal,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
846,1312197,1,19,3,JC Buttler,Yash Dayal,R Parag,,6,0,6,0,0,,,,Rajasthan Royals
847,1312197,1,19,4,JC Buttler,Yash Dayal,R Parag,,0,0,0,0,0,,,,Rajasthan Royals
848,1312197,1,19,5,JC Buttler,Yash Dayal,R Parag,,2,0,2,0,0,,,,Rajasthan Royals
849,1312197,1,19,6,JC Buttler,Yash Dayal,R Parag,noballs,1,1,2,0,1,JC Buttler,run out,WP Saha,Rajasthan Royals
850,1312197,1,19,7,R Ashwin,Yash Dayal,R Parag,wides,0,1,1,0,1,R Parag,run out,WP Saha,Rajasthan Royals
851,1312197,1,19,8,R Ashwin,Yash Dayal,TA Boult,,2,0,2,0,0,,,,Rajasthan Royals
956,1312197,2,16,1,DA Miller,OC McCoy,HH Pandya,,4,0,4,0,0,,,,Gujarat Titans
957,1312197,2,16,2,DA Miller,OC McCoy,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
958,1312197,2,16,3,HH Pandya,OC McCoy,DA Miller,,1,0,1,0,0,,,,Gujarat Titans
959,1312197,2,16,4,DA Miller,OC McCoy,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
960,1312197,2,16,5,HH Pandya,OC McCoy,DA Miller,,1,0,1,0,0,,,,Gujarat Titans
961,1312197,2,16,6,DA Miller,OC McCoy,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
962,1312197,2,17,1,DA Miller,YS Chahal,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
963,1312197,2,17,2,HH Pandya,YS Chahal,DA Miller,,1,0,1,0,0,,,,Gujarat Titans
964,1312197,2,17,3,DA Miller,YS Chahal,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
965,1312197,2,17,4,HH Pandya,YS Chahal,DA Miller,,1,0,1,0,0,,,,Gujarat Titans
966,1312197,2,17,5,DA Miller,YS Chahal,HH Pandya,,6,0,6,0,0,,,,Gujarat Titans
967,1312197,2,17,6,DA Miller,YS Chahal,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
968,1312197,2,18,1,DA Miller,OC McCoy,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
969,1312197,2,18,2,HH Pandya,OC McCoy,DA Miller,,1,0,1,0,0,,,,Gujarat Titans
970,1312197,2,18,3,DA Miller,OC McCoy,HH Pandya,,4,0,4,0,0,,,,Gujarat Titans
971,1312197,2,18,4,DA Miller,OC McCoy,HH Pandya,,0,0,0,0,0,,,,Gujarat Titans
972,1312197,2,18,5,DA Miller,OC McCoy,HH Pandya,,1,0,1,0,0,,,,Gujarat Titans
973,1312197,2,18,6,HH Pandya,OC McCoy,DA Miller,,0,0,0,0,0,,,,Gujarat Titans
974,1312197,2,19,1,DA Miller,M Prasidh Krishna,HH Pandya,,6,0,6,0,0,,,,Gujarat Titans
975,1312197,2,19,2,DA Miller,M Prasidh Krishna,HH Pandya,,6,0,6,0,0,,,,Gujarat Titans
976,1312197,2,19,3,DA Miller,M Prasidh Krishna,HH Pandya,,6,0,6,0,0,,,,Gujarat Titans
1075,1304116,1,16,1,Washington Sundar,NT Ellis,R Shepherd,,0,0,0,0,0,,,,Sunrisers Hyderabad
1076,1304116,1,16,2,Washington Sundar,NT Ellis,R Shepherd,,4,0,4,0,0,,,,Sunrisers Hyderabad
1077,1304116,1,16,3,Washington Sundar,NT Ellis,R Shepherd,legbyes,0,1,1,0,0,,,,Sunrisers Hyderabad
1078,1304116,1,16,4,R Shepherd,NT Ellis,Washington Sundar,,4,0,4,0,0,,,,Sunrisers Hyderabad
1079,1304116,1,16,5,R Shepherd,NT Ellis,Washington Sundar,,6,0,6,0,0,,,,Sunrisers Hyderabad
1080,1304116,1,16,6,R Shepherd,NT Ellis,Washington Sundar,,2,0,2,0,0,,,,Sunrisers Hyderabad
1081,1304116,1,17,1,Washington Sundar,K Rabada,R Shepherd,,6,0,6,0,0,,,,Sunrisers Hyderabad
1082,1304116,1,17,2,Washington Sundar,K Rabada,R Shepherd,wides,0,1,1,0,0,,,,Sunrisers Hyderabad
1083,1304116,1,17,3,Washington Sundar,K Rabada,R Shepherd,,1,0,1,0,0,,,,Sunrisers Hyderabad
1084,1304116,1,17,4,R Shepherd,K Rabada,Washington Sundar,byes,0,1,1,0,0,,,,Sunrisers Hyderabad
1085,1304116,1,17,5,Washington Sundar,K Rabada,R Shepherd,,4,0,4,0,0,,,,Sunrisers Hyderabad
1086,1304116,1,17,6,Washington Sundar,K Rabada,R Shepherd,wides,0,5,5,0,0,,,,Sunrisers Hyderabad
1087,1304116,1,17,7,Washington Sundar,K Rabada,R Shepherd,,0,0,0,0,0,,,,Sunrisers Hyderabad
1088,1304116,1,17,8,Washington Sundar,K Rabada,R Shepherd,,1,0,1,0,0,,,,Sunrisers Hyderabad
1089,1304116,1,18,1,Washington Sundar,Arshdeep Singh,R Shepherd,,1,0,1,0,0,,,,Sunrisers Hyderabad
1090,1304116,1,18,2,R Shepherd,Arshdeep Singh,Washington Sundar,,1,0,1,0,0,,,,Sunrisers Hyderabad
1091,1304116,1,18,3,Washington Sundar,Arshdeep Singh,R Shepherd,,1,0,1,0,0,,,,Sunrisers Hyderabad
1092,1304116,1,18,4,R Shepherd,Arshdeep Singh,Washington Sundar,,4,0,4,0,0,,,,Sunrisers Hyderabad
1093,1304116,1,18,5,R Shepherd,Arshdeep Singh,Washington Sundar,,1,0,1,0,0,,,,Sunrisers Hyderabad
1094,1304116,1,18,6,Washington Sundar,Arshdeep Singh,R Shepherd,,4,0,4,0,0,,,,Sunrisers Hyderabad
1095,1304116,1,19,1,R Shepherd,NT Ellis,Washington Sundar,,6,0,6,0,0,,,,Sunrisers Hyderabad
1096,1304116,1,19,2,R Shepherd,NT Ellis,Washington Sundar,,1,0,1,0,0,,,,Sunrisers Hyderabad
1097,1304116,1,19,3,Washington Sundar,NT Ellis,R Shepherd,,0,0,0,0,1,Washington Sundar,caught,S Dhawan,Sunrisers Hyderabad
1098,1304116,1,19,4,J Suchith,NT Ellis,R Shepherd,,0,0,0,0,1,J Suchith,caught,PN Mankad,Sunrisers Hyderabad
1099,1304116,1,19,5,B Kumar,NT Ellis,R Shepherd,,1,0,1,0,0,,,,Sunrisers Hyderabad
1100,1304116,1,19,6,R Shepherd,NT Ellis,B Kumar,noballs,0,1,1,0,1,B Kumar,run out,JM Sharma,Sunrisers Hyderabad
1101,1304116,1,19,7,Umran Malik,NT Ellis,R Shepherd,byes,0,1,1,0,0,,,,Sunrisers Hyderabad
1300,1304115,1,16,1,R Powell,JJ Bumrah,AR Patel,,0,0,0,0,0,,,,Delhi Capitals
1301,1304115,1,16,2,R Powell,JJ Bumrah,AR Patel,,0,0,0,0,0,,,,Delhi Capitals
1302,1304115,1,16,3,R Powell,JJ Bumrah,AR Patel,,1,0,1,0,0,,,,Delhi Capitals
1303,1304115,1,16,4,AR Patel,JJ Bumrah,R Powell,,0,0,0,0,0,,,,Delhi Capitals
1304,1304115,1,16,5,AR Patel,JJ Bumrah,R Powell,,1,0,1,0,0,,,,Delhi Capitals
1305,1304115,1,16,6,R Powell,JJ Bumrah,AR Patel,,6,0,6,0,0,,,,Delhi Capitals
1306,1304115,1,17,1,AR Patel,DR Sams,R Powell,,1,0,1,0,0,,,,Delhi Capitals
1307,1304115,1,17,2,R Powell,DR Sams,AR Patel,,0,0,0,0,0,,,,Delhi Capitals
1308,1304115,1,17,3,R Powell,DR Sams,AR Patel,,1,0,1,0,0,,,,Delhi Capitals
1309,1304115,1,17,4,AR Patel,DR Sams,R Powell,,6,0,6,0,0,,,,Delhi Capitals
1310,1304115,1,17,5,AR Patel,DR Sams,R Powell,,1,0,1,0,0,,,,Delhi Capitals
1311,1304115,1,17,6,R Powell,DR Sams,AR Patel,,0,0,0,0,0,,,,Delhi Capitals
1312,1304115,1,18,1,AR Patel,JJ Bumrah,R Powell,,1,0,1,0,0,,,,Delhi Capitals
1313,1304115,1,18,2,R Powell,JJ Bumrah,AR Patel,,0,0,0,0,1,R Powell,bowled,,Delhi Capitals
1314,1304115,1,18,3,SN Thakur,JJ Bumrah,AR Patel,,1,0,1,0,0,,,,Delhi Capitals
1315,1304115,1,18,4,AR Patel,JJ Bumrah,SN Thakur,,1,0,1,0,0,,,,Delhi Capitals
